,Model,Number of predictors,CV RMSE,CV AUC,CV threshold,CV expected Loss
0,X1,18,0.42631302664849624,0.580187673967275,0.23069799453953918,3.245063225382963
1,X2,38,0.42371574950113855,0.6084056489258634,0.23790583233892523,3.1058883205701613
2,X3,50,0.44584095401025226,0.5244137707001448,0.39083368107830474,3.5072381394332837
3,rf_p,30,0.4113260152370762,0.6881793328665372,0.29264658349876604,2.634200500890877
