models,k,RSquared,RMSE,BIC
(1),2.0,0.054880501426134765,13.058805389782483,31325.797076398285
(2),4.0,0.08511398928306058,12.848238262761235,31214.770138168322
(3),7.0,0.09734693474867218,12.762052265556113,31186.772982568265
(4),9.0,0.09941166431088078,12.747447943462973,31194.336673255446
