Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,sample,female,earnph,agesq
168462,208020111074444,July,MD,3902.2009,1600.0,40,44,1,,38,2,1,1,2,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1.0,1,40.0,1444
168522,421460455041002,July,MD,3511.4807,1750.0,37,44,1,,54,2,1,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2300,Government - State,Yes,,Employed-At Work,1.0,1,47.2972972972973,2916
168531,449030996100912,July,MD,2070.178,969.23,40,44,2,,46,2,7,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-Absent,1.0,1,24.23075,2116
168611,791044989219270,July,MD,2566.7206,2500.0,40,46,4,,33,1,1,0,0,"Foreign Born, Not a US Citizen",5,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, Nonprofit",No,No,Employed-At Work,1.0,0,62.5,1089
168660,981848005120650,July,MD,3720.7329999999997,1653.84,60,44,1,,63,2,1,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2320,Government - Local,Yes,,Employed-At Work,1.0,1,27.564,3969
168666,984489310059202,July,MD,2011.9885,2884.61,40,44,1,,37,1,1,3,11,"Native, Born In US",5,Elementary and secondary schools (6111),2320,Government - Local,Yes,,Employed-Absent,1.0,0,72.11525,1369
168784,291550001920500,July,MA,2455.6374,1153.84,55,44,1,,59,2,1,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2330,Government - Local,Yes,,Employed-Absent,1.0,1,20.978909090909088,3481
168842,955589410239205,July,MA,5735.8718,300.0,20,44,1,,27,1,7,0,0,"Native, Born In US",1,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, Nonprofit",No,No,Employed-Absent,1.0,0,15.0,729
168895,79312150976197,July,MA,3065.7014,1224.4,40,44,1,,54,2,5,2,10,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-Absent,1.0,1,30.610000000000003,2916
168914,120509905722381,July,MA,3065.7014,1519.23,60,44,1,,52,2,7,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2320,"Private, Nonprofit",No,No,Employed-Absent,1.0,1,25.3205,2704
169142,211296749500840,July,MA,3339.3101,1153.84,40,44,1,,47,1,7,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2310,"Private, For Profit",No,Yes,Employed-Absent,1.0,0,28.845999999999997,2209
169360,120600067936819,July,MI,3038.1403,1224.4,40,44,1,,40,2,3,2,3,"Native, Born In US",3,Elementary and secondary schools (6111),2330,Government - Local,Yes,,Employed-At Work,1.0,1,30.610000000000003,1600
169407,205050017007684,July,MI,2671.8301,2884.61,50,46,1,,60,2,7,0,0,"Native, Born In US",3,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, Nonprofit",No,No,Employed-At Work,1.0,1,57.6922,3600
169623,122522060031309,July,MI,2924.6605,1700.0,40,44,1,,51,1,1,7,12,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-Absent,1.0,0,42.5,2601
169702,11006397200011,July,MI,3461.0129,1384.61,40,44,1,,44,2,1,2,3,"Native, Born In US",3,Elementary and secondary schools (6111),2320,Government - State,Yes,,Employed-Absent,1.0,1,34.615249999999996,1936
169822,3552170992391,July,MN,1923.3684,576.0,40,44,4,,42,2,1,5,14,"Foreign Born, US Cit By Naturalization",4,Elementary and secondary schools (6111),2300,Government - Local,No,No,Employed-Absent,1.0,1,14.4,1764
169846,170770071121409,July,MN,1792.1965,865.0,40,44,1,,30,1,1,2,1,"Native, Born In US",4,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,No,No,Employed-At Work,1.0,0,21.625,900
169847,170770071121409,July,MN,1680.1675,1250.0,40,44,1,,30,2,1,2,1,"Native, Born In US",4,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, Nonprofit",No,No,Employed-Absent,1.0,1,31.25,900
170038,799750666900712,July,MN,1960.1814,980.88,24,44,1,,63,2,1,0,0,"Native, Born In US",4,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,No,Employed-At Work,1.0,1,40.87,3969
170081,991877005120480,July,MN,3740.0164,1673.07,60,44,1,,63,2,5,0,0,"Native, Born In US",4,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-Absent,1.0,1,27.8845,3969
170117,120706956089593,July,MN,1613.2346,769.23,40,44,1,,37,2,1,2,3,"Native, Born In US",4,Elementary and secondary schools (6111),2300,"Private, Nonprofit",Yes,,Employed-At Work,1.0,1,19.23075,1369
170123,180972072225749,July,MN,1557.3093,1115.38,40,44,1,,32,2,1,1,1,"Native, Born In US",4,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-Absent,1.0,1,27.884500000000003,1024
170326,967179310789203,July,MN,1749.7869,1307.0,50,46,1,,62,1,5,0,0,"Native, Born In US",4,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,No,No,Employed-Absent,1.0,0,26.14,3844
170407,200060511069814,July,MS,1542.2957,692.3,40,44,1,,33,2,1,3,11,"Native, Born In US",6,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-Absent,1.0,1,17.307499999999997,1089
170464,8612580999894,July,MS,3467.3787,673.07,40,44,1,,24,2,1,1,2,"Native, Born In US",6,Elementary and secondary schools (6111),2300,Government - State,No,No,Employed-At Work,1.0,1,16.82675,576
